text,label,cleaned_text
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆ ಖಾಲೀ! ತಕ್ಷಣವೇ OTP ಶೇರ್ ಮಾಡಿ,1,ನ ಮ ಮ ಬ ಯ ಕ ಖ ತ ಖ ಲ ತಕ ಷಣವ OTP ಶ ರ ಮ ಡ
ಸಮಾಜಿಕ ಕಾರ್ಯಕರ್ತರು ರೈತರ ಪರ ಹೋರಾಟ ನಡೆಸಿದರು,0,ಸಮ ಜ ಕ ಕ ರ ಯಕರ ತರ ರ ತರ ಪರ ಹ ರ ಟ ನಡ ಸ ದರ
ನಿಮ್ಮ ಆಧಾರ್ ಕಾರ್ಡ್ ತಕ್ಷಣವೇ ಡಿಎಕ್ಟಿವೇಟ್ ಆಗಲಿದೆ,1,ನ ಮ ಮ ಆಧ ರ ಕ ರ ಡ ತಕ ಷಣವ ಡ ಎಕ ಟ ವ ಟ ಆಗಲ ದ
ಶಿಕ್ಷಣ ಇಲಾಖೆಯು ಹೊಸ ನಿಯಮಗಳನ್ನು ಜಾರಿಗೆ ತಂದಿದೆ,0,ಶ ಕ ಷಣ ಇಲ ಖ ಯ ಹ ಸ ನ ಯಮಗಳನ ನ ಜ ರ ಗ ತ ದ ದ
ಲಾಟರಿ ಗೆದ್ದಿದ್ದೀರಿ! ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ತಕ್ಷಣವೇ ಶೇರ್ ಮಾಡಿ,1,ಲ ಟರ ಗ ದ ದ ದ ದ ರ ನ ಮ ಮ ಮ ಹ ತ ಯನ ನ ತಕ ಷಣವ ಶ ರ ಮ ಡ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
ಸಾವಿರಾರು ರೂಪಾಯಿ ಉಚಿತ ಉಡುಗೊರೆ ಪಡೆಯಿರಿ,1,ಸ ವ ರ ರ ರ ಪ ಯ ಉಚ ತ ಉಡ ಗ ರ ಪಡ ಯ ರ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ಕ್ರೀಡಾ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದು ಬೀಗಿತು,0,ಕ ರ ಡ ಪ ದ ಯದಲ ಲ ಭ ರತ ಗ ದ ದ ಬ ಗ ತ
ಲಾಟರಿ ಗೆದ್ದಿದ್ದೀರಿ! ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ತಕ್ಷಣವೇ ಶೇರ್ ಮಾಡಿ,1,ಲ ಟರ ಗ ದ ದ ದ ದ ರ ನ ಮ ಮ ಮ ಹ ತ ಯನ ನ ತಕ ಷಣವ ಶ ರ ಮ ಡ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
ಪ್ರಧಾನಿ ಇಂದು ಸಂಸದರಲ್ಲಿ ಭಾಷಣ ನೀಡಿದರು,0,ಪ ರಧ ನ ಇ ದ ಸ ಸದರಲ ಲ ಭ ಷಣ ನ ಡ ದರ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ನಗರದಲ್ಲಿ ಕೋವಿಡ್-19 ಲಸಿಕೆ ಅಭಿಯಾನ ಯಶಸ್ವಿಯಾಯಿತು,0,ನಗರದಲ ಲ ಕ ವ ಡ 19 ಲಸ ಕ ಅಭ ಯ ನ ಯಶಸ ವ ಯ ಯ ತ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
ಅಪ್ರಮಾಣಿತ ವೈದ್ಯಕೀಯ ಚಿಕಿತ್ಸೆ ಇಂದ ಜೀವ ಹಾನಿ,1,ಅಪ ರಮ ಣ ತ ವ ದ ಯಕ ಯ ಚ ಕ ತ ಸ ಇ ದ ಜ ವ ಹ ನ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
ಲಾಟರಿ ಗೆದ್ದಿದ್ದೀರಿ! ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ತಕ್ಷಣವೇ ಶೇರ್ ಮಾಡಿ,1,ಲ ಟರ ಗ ದ ದ ದ ದ ರ ನ ಮ ಮ ಮ ಹ ತ ಯನ ನ ತಕ ಷಣವ ಶ ರ ಮ ಡ
ಸಮಾಜಿಕ ಕಾರ್ಯಕರ್ತರು ರೈತರ ಪರ ಹೋರಾಟ ನಡೆಸಿದರು,0,ಸಮ ಜ ಕ ಕ ರ ಯಕರ ತರ ರ ತರ ಪರ ಹ ರ ಟ ನಡ ಸ ದರ
ಭಾರತೀಯ ಸರ್ಕಾರ ಉಚಿತ ಲ್ಯಾಪ್‌ಟಾಪ್ ವಿತರಿಸುತ್ತಿದೆ,1,ಭ ರತ ಯ ಸರ ಕ ರ ಉಚ ತ ಲ ಯ ಪ ಟ ಪ ವ ತರ ಸ ತ ತ ದ
ಶಿಕ್ಷಣ ಇಲಾಖೆಯು ಹೊಸ ನಿಯಮಗಳನ್ನು ಜಾರಿಗೆ ತಂದಿದೆ,0,ಶ ಕ ಷಣ ಇಲ ಖ ಯ ಹ ಸ ನ ಯಮಗಳನ ನ ಜ ರ ಗ ತ ದ ದ
ಸಾವಿರಾರು ರೂಪಾಯಿ ಉಚಿತ ಉಡುಗೊರೆ ಪಡೆಯಿರಿ,1,ಸ ವ ರ ರ ರ ಪ ಯ ಉಚ ತ ಉಡ ಗ ರ ಪಡ ಯ ರ
ಮುಖ್ಯಮಂತ್ರಿ ಹೊಸ ಯೋಜನೆ ಆರಂಭಿಸಿದರು,0,ಮ ಖ ಯಮ ತ ರ ಹ ಸ ಯ ಜನ ಆರ ಭ ಸ ದರ
ಅಪ್ರಮಾಣಿತ ವೈದ್ಯಕೀಯ ಚಿಕಿತ್ಸೆ ಇಂದ ಜೀವ ಹಾನಿ,1,ಅಪ ರಮ ಣ ತ ವ ದ ಯಕ ಯ ಚ ಕ ತ ಸ ಇ ದ ಜ ವ ಹ ನ
ಮುಖ್ಯಮಂತ್ರಿ ಹೊಸ ಯೋಜನೆ ಆರಂಭಿಸಿದರು,0,ಮ ಖ ಯಮ ತ ರ ಹ ಸ ಯ ಜನ ಆರ ಭ ಸ ದರ
ಲಾಟರಿ ಗೆದ್ದಿದ್ದೀರಿ! ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ತಕ್ಷಣವೇ ಶೇರ್ ಮಾಡಿ,1,ಲ ಟರ ಗ ದ ದ ದ ದ ರ ನ ಮ ಮ ಮ ಹ ತ ಯನ ನ ತಕ ಷಣವ ಶ ರ ಮ ಡ
ಮುಖ್ಯಮಂತ್ರಿ ಹೊಸ ಯೋಜನೆ ಆರಂಭಿಸಿದರು,0,ಮ ಖ ಯಮ ತ ರ ಹ ಸ ಯ ಜನ ಆರ ಭ ಸ ದರ
ನೀವು ಈಗಲೇ ಹರಾಜು ಗೆದ್ದು ಬಂಡವಾಳವನ್ನು ಗಳಿಸಿ,1,ನ ವ ಈಗಲ ಹರ ಜ ಗ ದ ದ ಬ ಡವ ಳವನ ನ ಗಳ ಸ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
ನೀವು ಈಗಲೇ ಹರಾಜು ಗೆದ್ದು ಬಂಡವಾಳವನ್ನು ಗಳಿಸಿ,1,ನ ವ ಈಗಲ ಹರ ಜ ಗ ದ ದ ಬ ಡವ ಳವನ ನ ಗಳ ಸ
ಮುಖ್ಯಮಂತ್ರಿ ಹೊಸ ಯೋಜನೆ ಆರಂಭಿಸಿದರು,0,ಮ ಖ ಯಮ ತ ರ ಹ ಸ ಯ ಜನ ಆರ ಭ ಸ ದರ
ಸಾವಿರಾರು ರೂಪಾಯಿ ಉಚಿತ ಉಡುಗೊರೆ ಪಡೆಯಿರಿ,1,ಸ ವ ರ ರ ರ ಪ ಯ ಉಚ ತ ಉಡ ಗ ರ ಪಡ ಯ ರ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
ಅಪ್ರಮಾಣಿತ ವೈದ್ಯಕೀಯ ಚಿಕಿತ್ಸೆ ಇಂದ ಜೀವ ಹಾನಿ,1,ಅಪ ರಮ ಣ ತ ವ ದ ಯಕ ಯ ಚ ಕ ತ ಸ ಇ ದ ಜ ವ ಹ ನ
ರಾಜ್ಯದಲ್ಲಿ ವಿದ್ಯುತ್ ಸಮಸ್ಯೆ ಇಳಿಮುಖವಾಗಿದೆ,0,ರ ಜ ಯದಲ ಲ ವ ದ ಯ ತ ಸಮಸ ಯ ಇಳ ಮ ಖವ ಗ ದ
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆ ಖಾಲೀ! ತಕ್ಷಣವೇ OTP ಶೇರ್ ಮಾಡಿ,1,ನ ಮ ಮ ಬ ಯ ಕ ಖ ತ ಖ ಲ ತಕ ಷಣವ OTP ಶ ರ ಮ ಡ
ಪ್ರಧಾನಿ ಇಂದು ಸಂಸದರಲ್ಲಿ ಭಾಷಣ ನೀಡಿದರು,0,ಪ ರಧ ನ ಇ ದ ಸ ಸದರಲ ಲ ಭ ಷಣ ನ ಡ ದರ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
ಮುಖ್ಯಮಂತ್ರಿ ಹೊಸ ಯೋಜನೆ ಆರಂಭಿಸಿದರು,0,ಮ ಖ ಯಮ ತ ರ ಹ ಸ ಯ ಜನ ಆರ ಭ ಸ ದರ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
ನಿಮ್ಮ ಡೆಬಿಟ್ ಕಾರ್ಡ್ ತಕ್ಷಣವೇ ಬ್ಲಾಕ್ ಆಗುತ್ತದೆ,1,ನ ಮ ಮ ಡ ಬ ಟ ಕ ರ ಡ ತಕ ಷಣವ ಬ ಲ ಕ ಆಗ ತ ತದ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
ನೀವು ಈಗಲೇ ಹರಾಜು ಗೆದ್ದು ಬಂಡವಾಳವನ್ನು ಗಳಿಸಿ,1,ನ ವ ಈಗಲ ಹರ ಜ ಗ ದ ದ ಬ ಡವ ಳವನ ನ ಗಳ ಸ
ನಗರದಲ್ಲಿ ಕೋವಿಡ್-19 ಲಸಿಕೆ ಅಭಿಯಾನ ಯಶಸ್ವಿಯಾಯಿತು,0,ನಗರದಲ ಲ ಕ ವ ಡ 19 ಲಸ ಕ ಅಭ ಯ ನ ಯಶಸ ವ ಯ ಯ ತ
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆ ಖಾಲೀ! ತಕ್ಷಣವೇ OTP ಶೇರ್ ಮಾಡಿ,1,ನ ಮ ಮ ಬ ಯ ಕ ಖ ತ ಖ ಲ ತಕ ಷಣವ OTP ಶ ರ ಮ ಡ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
ಅಪ್ರಮಾಣಿತ ವೈದ್ಯಕೀಯ ಚಿಕಿತ್ಸೆ ಇಂದ ಜೀವ ಹಾನಿ,1,ಅಪ ರಮ ಣ ತ ವ ದ ಯಕ ಯ ಚ ಕ ತ ಸ ಇ ದ ಜ ವ ಹ ನ
ರಾಜ್ಯದಲ್ಲಿ ವಿದ್ಯುತ್ ಸಮಸ್ಯೆ ಇಳಿಮುಖವಾಗಿದೆ,0,ರ ಜ ಯದಲ ಲ ವ ದ ಯ ತ ಸಮಸ ಯ ಇಳ ಮ ಖವ ಗ ದ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
ಶಿಕ್ಷಣ ಇಲಾಖೆಯು ಹೊಸ ನಿಯಮಗಳನ್ನು ಜಾರಿಗೆ ತಂದಿದೆ,0,ಶ ಕ ಷಣ ಇಲ ಖ ಯ ಹ ಸ ನ ಯಮಗಳನ ನ ಜ ರ ಗ ತ ದ ದ
ನೀವು ಈಗಲೇ ಹರಾಜು ಗೆದ್ದು ಬಂಡವಾಳವನ್ನು ಗಳಿಸಿ,1,ನ ವ ಈಗಲ ಹರ ಜ ಗ ದ ದ ಬ ಡವ ಳವನ ನ ಗಳ ಸ
ನಗರದಲ್ಲಿ ಕೋವಿಡ್-19 ಲಸಿಕೆ ಅಭಿಯಾನ ಯಶಸ್ವಿಯಾಯಿತು,0,ನಗರದಲ ಲ ಕ ವ ಡ 19 ಲಸ ಕ ಅಭ ಯ ನ ಯಶಸ ವ ಯ ಯ ತ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ನಗರದಲ್ಲಿ ಕೋವಿಡ್-19 ಲಸಿಕೆ ಅಭಿಯಾನ ಯಶಸ್ವಿಯಾಯಿತು,0,ನಗರದಲ ಲ ಕ ವ ಡ 19 ಲಸ ಕ ಅಭ ಯ ನ ಯಶಸ ವ ಯ ಯ ತ
ಭಾರತೀಯ ಸರ್ಕಾರ ಉಚಿತ ಲ್ಯಾಪ್‌ಟಾಪ್ ವಿತರಿಸುತ್ತಿದೆ,1,ಭ ರತ ಯ ಸರ ಕ ರ ಉಚ ತ ಲ ಯ ಪ ಟ ಪ ವ ತರ ಸ ತ ತ ದ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆ ಖಾಲೀ! ತಕ್ಷಣವೇ OTP ಶೇರ್ ಮಾಡಿ,1,ನ ಮ ಮ ಬ ಯ ಕ ಖ ತ ಖ ಲ ತಕ ಷಣವ OTP ಶ ರ ಮ ಡ
ಪ್ರಧಾನಿ ಇಂದು ಸಂಸದರಲ್ಲಿ ಭಾಷಣ ನೀಡಿದರು,0,ಪ ರಧ ನ ಇ ದ ಸ ಸದರಲ ಲ ಭ ಷಣ ನ ಡ ದರ
ಭಾರತೀಯ ಸರ್ಕಾರ ಉಚಿತ ಲ್ಯಾಪ್‌ಟಾಪ್ ವಿತರಿಸುತ್ತಿದೆ,1,ಭ ರತ ಯ ಸರ ಕ ರ ಉಚ ತ ಲ ಯ ಪ ಟ ಪ ವ ತರ ಸ ತ ತ ದ
ವಿದ್ಯಾರ್ಥಿಗಳು ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತಮ ಅಂಕ ಪಡೆದರು,0,ವ ದ ಯ ರ ಥ ಗಳ ಪರ ಕ ಷ ಯಲ ಲ ಉತ ತಮ ಅ ಕ ಪಡ ದರ
ಸಾವಿರಾರು ರೂಪಾಯಿ ಉಚಿತ ಉಡುಗೊರೆ ಪಡೆಯಿರಿ,1,ಸ ವ ರ ರ ರ ಪ ಯ ಉಚ ತ ಉಡ ಗ ರ ಪಡ ಯ ರ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
ನಿಮ್ಮ ಆಧಾರ್ ಕಾರ್ಡ್ ತಕ್ಷಣವೇ ಡಿಎಕ್ಟಿವೇಟ್ ಆಗಲಿದೆ,1,ನ ಮ ಮ ಆಧ ರ ಕ ರ ಡ ತಕ ಷಣವ ಡ ಎಕ ಟ ವ ಟ ಆಗಲ ದ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
ಕ್ರೀಡಾ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದು ಬೀಗಿತು,0,ಕ ರ ಡ ಪ ದ ಯದಲ ಲ ಭ ರತ ಗ ದ ದ ಬ ಗ ತ
ಭಾರತೀಯ ಸರ್ಕಾರ ಉಚಿತ ಲ್ಯಾಪ್‌ಟಾಪ್ ವಿತರಿಸುತ್ತಿದೆ,1,ಭ ರತ ಯ ಸರ ಕ ರ ಉಚ ತ ಲ ಯ ಪ ಟ ಪ ವ ತರ ಸ ತ ತ ದ
ಕ್ರೀಡಾ ಪಂದ್ಯದಲ್ಲಿ ಭಾರತ ಗೆದ್ದು ಬೀಗಿತು,0,ಕ ರ ಡ ಪ ದ ಯದಲ ಲ ಭ ರತ ಗ ದ ದ ಬ ಗ ತ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
ರಾಜ್ಯದಲ್ಲಿ ವಿದ್ಯುತ್ ಸಮಸ್ಯೆ ಇಳಿಮುಖವಾಗಿದೆ,0,ರ ಜ ಯದಲ ಲ ವ ದ ಯ ತ ಸಮಸ ಯ ಇಳ ಮ ಖವ ಗ ದ
ನೀವು ಈಗಲೇ ಹರಾಜು ಗೆದ್ದು ಬಂಡವಾಳವನ್ನು ಗಳಿಸಿ,1,ನ ವ ಈಗಲ ಹರ ಜ ಗ ದ ದ ಬ ಡವ ಳವನ ನ ಗಳ ಸ
ಮುಖ್ಯಮಂತ್ರಿ ಹೊಸ ಯೋಜನೆ ಆರಂಭಿಸಿದರು,0,ಮ ಖ ಯಮ ತ ರ ಹ ಸ ಯ ಜನ ಆರ ಭ ಸ ದರ
ನಿಮ್ಮ ಆಧಾರ್ ಕಾರ್ಡ್ ತಕ್ಷಣವೇ ಡಿಎಕ್ಟಿವೇಟ್ ಆಗಲಿದೆ,1,ನ ಮ ಮ ಆಧ ರ ಕ ರ ಡ ತಕ ಷಣವ ಡ ಎಕ ಟ ವ ಟ ಆಗಲ ದ
ಪ್ರಧಾನಿ ಇಂದು ಸಂಸದರಲ್ಲಿ ಭಾಷಣ ನೀಡಿದರು,0,ಪ ರಧ ನ ಇ ದ ಸ ಸದರಲ ಲ ಭ ಷಣ ನ ಡ ದರ
ಸಾವಿರಾರು ರೂಪಾಯಿ ಉಚಿತ ಉಡುಗೊರೆ ಪಡೆಯಿರಿ,1,ಸ ವ ರ ರ ರ ಪ ಯ ಉಚ ತ ಉಡ ಗ ರ ಪಡ ಯ ರ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ಹೊಸ ಕೃಷಿ ನೀತಿ ರೈತರಿಗೆ ನೆರವಾಗಲಿದೆ,0,ಹ ಸ ಕ ಷ ನ ತ ರ ತರ ಗ ನ ರವ ಗಲ ದ
ನಿಮ್ಮ ಆಧಾರ್ ಕಾರ್ಡ್ ತಕ್ಷಣವೇ ಡಿಎಕ್ಟಿವೇಟ್ ಆಗಲಿದೆ,1,ನ ಮ ಮ ಆಧ ರ ಕ ರ ಡ ತಕ ಷಣವ ಡ ಎಕ ಟ ವ ಟ ಆಗಲ ದ
ನಗರದಲ್ಲಿ ಕೋವಿಡ್-19 ಲಸಿಕೆ ಅಭಿಯಾನ ಯಶಸ್ವಿಯಾಯಿತು,0,ನಗರದಲ ಲ ಕ ವ ಡ 19 ಲಸ ಕ ಅಭ ಯ ನ ಯಶಸ ವ ಯ ಯ ತ
ಸಾವಿರಾರು ರೂಪಾಯಿ ಉಚಿತ ಉಡುಗೊರೆ ಪಡೆಯಿರಿ,1,ಸ ವ ರ ರ ರ ಪ ಯ ಉಚ ತ ಉಡ ಗ ರ ಪಡ ಯ ರ
ಮುಖ್ಯಮಂತ್ರಿ ಹೊಸ ಯೋಜನೆ ಆರಂಭಿಸಿದರು,0,ಮ ಖ ಯಮ ತ ರ ಹ ಸ ಯ ಜನ ಆರ ಭ ಸ ದರ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ಪ್ರಧಾನಿ ಇಂದು ಸಂಸದರಲ್ಲಿ ಭಾಷಣ ನೀಡಿದರು,0,ಪ ರಧ ನ ಇ ದ ಸ ಸದರಲ ಲ ಭ ಷಣ ನ ಡ ದರ
ನೀವು ಈಗಲೇ ಹರಾಜು ಗೆದ್ದು ಬಂಡವಾಳವನ್ನು ಗಳಿಸಿ,1,ನ ವ ಈಗಲ ಹರ ಜ ಗ ದ ದ ಬ ಡವ ಳವನ ನ ಗಳ ಸ
ಸಮಾಜಿಕ ಕಾರ್ಯಕರ್ತರು ರೈತರ ಪರ ಹೋರಾಟ ನಡೆಸಿದರು,0,ಸಮ ಜ ಕ ಕ ರ ಯಕರ ತರ ರ ತರ ಪರ ಹ ರ ಟ ನಡ ಸ ದರ
ಭಾರತೀಯ ಸರ್ಕಾರ ಉಚಿತ ಲ್ಯಾಪ್‌ಟಾಪ್ ವಿತರಿಸುತ್ತಿದೆ,1,ಭ ರತ ಯ ಸರ ಕ ರ ಉಚ ತ ಲ ಯ ಪ ಟ ಪ ವ ತರ ಸ ತ ತ ದ
ಸಮಾಜಿಕ ಕಾರ್ಯಕರ್ತರು ರೈತರ ಪರ ಹೋರಾಟ ನಡೆಸಿದರು,0,ಸಮ ಜ ಕ ಕ ರ ಯಕರ ತರ ರ ತರ ಪರ ಹ ರ ಟ ನಡ ಸ ದರ
